"scale";"lat";"lon";"ID"
0.25;49.4205073240443;-1.8744918699187;1
0.25;49.183922829582;-2.17475609756098;2
0.5;49.1686866188474;-1.69606003752345;3
0.75;48.8754019292604;-1.73595383275261;4
1;48.6633948214588;-1.77005776636714;5
0.25;48.6352268667382;-2.2079945799458;6
0.25;48.5721780335082;-2.64377406931964;7
0.25;48.6733654876742;-2.89456300813008;8
0.25;48.8437472842617;-3.51672709294661;9
0.5;48.6902465166131;-3.83079268292683;10
0.25;48.6799796919953;-4.21822849807446;11
0.5;48.1318327974277;-4.48475609756098;12
0.25;47.6539389067524;-3.47726117886179;13
0.5;47.5235798499464;-3.1880081300813;14
0.5;47.4945922244958;-2.92378048780488;15
0.25;47.3845215655838;-2.59514297729184;16
0.25;47.3078778135048;-3.20198170731707;17
0.5;47.163648671518;-2.3507702182285;18
1;47.1041800643087;-2.16737804878049;19
0.25;46.6832797427653;-2.3719512195122;20
1;46.9237823032035;-2.21047877145438;21
0.75;46.7095391211147;-2.08130081300813;22
0.5;46.4972574238699;-1.86101147776184;23
0.5;46.3284819766458;-1.50882541720154;24
0.25;46.1870798012277;-1.24390243902439;25
0.5;46.1806002143623;-1.47065548780488;26
0.75;45.9555198285102;-1.38541666666667;27
0.75;45.9587537421;-1.17966778805719;28
0.25;45.6560947091494;-1.25304878048781;29
0.25;44.4948845366852;-1.29725609756097;30
0.25;43.6977491961415;-1.49520905923345;31
