"zone" "name" "i" "j" "lat" "lon" "Traceur_1" "Traceur_2" "Traceur_3" "Traceur_4" "Traceur_5" "Traceur_6" "Traceur_7" "Traceur_8" "Traceur_9" "Traceur_10" "Traceur_11" "Traceur_12" "Traceur_13" "Traceur_14" "Traceur_15" "Traceur_16" "Traceur_17" "Traceur_18" "Traceur_19" "Traceur_20" "Traceur_21" "Traceur_22" "Traceur_23" "Traceur_24" "Traceur_25" "Traceur_26" "Traceur_27" "Traceur_28" "Traceur_29" "Traceur_30" "Traceur_31" "Traceur_32" "Traceur_33" "Traceur_34" "Traceur_35" "Traceur_36" "Traceur_37" "Traceur_38" "Traceur_39" "Traceur_40" "Traceur_41" "Traceur_42" "Traceur_43" "Traceur_44" "Traceur_45" "Traceur_46" "Traceur_47" "Traceur_48" "Traceur_49" "Traceur_50" "Traceur_51" "Traceur_52" "Traceur_53" "Traceur_54" "Traceur_55" "Traceur_56" "Traceur_57" "Traceur_58" "Traceur_59" "Traceur_60"
"1" "1" "Traceur_1" 580 407 50.1157556270096 1.38414634146341 280729.917665439 540216.091501721 95994.1303625944 5789.07166614052 0.0216082347520078 1.08463198397832e-05 1.0557599624706e-10 0 0 0 0 0 0 0 0 2.14268432225097e-15 2.09098346347124e-15 0 2.75258014942677e-16 2.58733889081444e-17 0 0 4.47264930186017e-16 2.27470188039813e-17 4.83183111918042e-19 1.17041844307598e-20 2.33326200584814e-24 5.86072859967364e-23 6.69361747927473e-26 8.91109411608462e-28 6.03785419323323e-27 2.02968659288269e-29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" "1" "Traceur_1" 581 407 50.1157556270096 1.41768292682927 239116.770095386 396674.830839815 54400.6164740791 2412.05467503623 0.0235077182489077 7.13386486945575e-06 5.11419052215399e-11 0 0 0 0 0 0 0 0 1.37822791282391e-15 1.11797216664057e-15 0 1.77591677425219e-16 1.69493782366215e-17 0 0 2.63098629502875e-16 1.17028156553054e-17 2.46606839551758e-19 5.98111511484239e-21 9.12107669810952e-25 2.74641127572141e-23 2.72824689821685e-26 2.95650335420307e-28 2.24369554924704e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" "1" "Traceur_1" 581 408 50.1382636655949 1.41768292682927 269086.749544477 444547.325167655 64426.66404767 3141.26745621402 0.0265356388018984 7.24359943725726e-06 6.02240966592611e-11 0 0 4.32302591807986e-15 0 0 0 0 0 1.534731014719e-15 1.15254242872535e-15 0 1.95151595653506e-16 1.84254555223103e-17 0 0 2.79494247483142e-16 1.21855604101857e-17 2.56948670930737e-19 6.22817880759757e-21 9.07843501574168e-25 2.81668806664161e-23 2.7486713936431e-26 2.89668102561233e-28 2.23279816114036e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" "1" "Traceur_1" 581 409 50.1607717041801 1.41768292682927 317570.321738192 470548.560726291 65580.9581026232 3187.0873151015 0.0267383030831425 7.14001329328124e-06 5.85550398273305e-11 0 0 5.06987544642833e-14 0 0 0 0 0 1.61608730307231e-15 1.10690495058684e-15 0 2.02549064245216e-16 1.88856106931557e-17 0 0 2.7948202243458e-16 1.1884525191922e-17 2.50888984545324e-19 6.07514095638503e-21 8.4284763914979e-25 2.70130813184093e-23 2.59034728051128e-26 2.65608986036731e-28 2.07877058685258e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" "1" "Traceur_1" 574 401 49.9807073954984 1.18292682926829 84355.058919029 693158.967859137 325258.428064133 48930.7603479468 0 0 0 0 0 0 0 0 0 0 0 1.02649599050322e-14 1.89367258024532e-14 0 2.01064186538639e-16 0 0 0 2.74097351617717e-15 2.93036975961121e-16 7.15132716130573e-18 1.61678180562383e-19 1.07610807602391e-22 1.32036766632019e-21 3.32178503904272e-24 8.27920290888415e-26 4.16163132177917e-25 1.73514295676213e-26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" "1" "Traceur_1" 574 402 50.0032154340836 1.18292682926829 111513.45094094 821379.57857823 389191.025555191 61502.7145986409 2.34596200448416 0 0 0 0 0 0 0 0 0 0 1.32801984378361e-14 2.19052791887194e-14 0 2.84163326186656e-16 1.93958084275933e-19 0 0 3.14826103842924e-15 3.42697379234074e-16 8.44124205877679e-18 1.89993175594154e-19 1.31038183434628e-22 1.56980703198823e-21 4.1328451467952e-24 1.06166060723307e-25 5.26477234412452e-25 2.3734157139913e-26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" "1" "Traceur_1" 575 402 50.0032154340836 1.21646341463414 129997.052698594 713400.964679511 282374.623328086 35472.7267450246 0 0 0 0 0 0 0 0 0 0 0 8.22657657714701e-15 1.43998288971028e-14 0 3.13736567315507e-16 8.19455912724425e-18 0 0 2.16649217405752e-15 2.09650095752075e-16 4.96613908738044e-18 1.14091355055101e-19 6.58291644108067e-23 8.72222267411929e-22 1.98278156808528e-24 4.68395029512524e-26 2.40951598261406e-25 8.81595249192025e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" "1" "Traceur_1" 575 403 50.0257234726688 1.21646341463414 162254.360707868 845485.883751516 339735.461409585 45080.4274044621 0 0 0 0 0 0 0 0 0 0 0 1.01332466827627e-14 1.63074950359943e-14 0 4.06041738375464e-16 1.62450370470363e-17 0 0 2.45237415387102e-15 2.38606220507026e-16 5.67923536988643e-18 1.30195763641825e-19 7.64920680978884e-23 9.99413162292334e-22 2.33857772449918e-24 5.64586004282758e-26 2.87547548222401e-25 1.12026164247539e-26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" "1" "Traceur_1" 576 403 50.0257234726688 1.25 183283.038476174 749743.49262844 255862.991369658 26920.8777265699 0 0 0 0 0 0 0 0 0 0 0 6.71798395712993e-15 1.10861068805043e-14 0 4.21982880988024e-16 2.71713259773865e-17 0 0 1.75168889988196e-15 1.51351343568634e-16 3.48530642928316e-18 8.12788388365464e-20 3.98754652588264e-23 5.77639825591116e-22 1.17422233020188e-24 2.60126934737996e-26 1.37633821804369e-25 4.23727972049934e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" "1" "Traceur_1" 577 403 50.0257234726688 1.28353658536586 182074.222793859 600205.779510657 176163.203837364 15950.1811347571 0 0 1.9744787083543e-10 0 0 0 0 0 0 0 0 4.08993360144819e-15 6.76737130138145e-15 0 3.800396748514e-16 2.68821939863193e-17 0 0 1.1336828846573e-15 8.54373882416669e-17 1.90257474573674e-18 4.51326166114696e-20 1.76111409906775e-23 2.92301061054012e-22 4.98799772125544e-25 9.74773000822022e-27 5.46381006128401e-26 1.08541902593295e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" "1" "Traceur_1" 577 404 50.048231511254 1.28353658536586 206230.360840545 703748.583787857 217884.456622411 21591.4823812193 0 0 9.51425627545843e-11 0 0 0 0 0 0 0 0 5.12878429849356e-15 7.89860541804487e-15 0 4.40365863705887e-16 3.10668030025686e-17 0 0 1.31368921822747e-15 1.01667545677404e-16 2.28271679409569e-18 5.39427253201655e-20 2.21633739128348e-23 3.55627154715565e-22 6.37402134680066e-25 1.29804110025498e-26 7.13440810869269e-26 1.67127047005925e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" "1" "Traceur_1" 578 404 50.048231511254 1.31707317073171 230105.672041997 633049.877799895 163023.086371184 13603.1326697641 0 7.14484395095304e-08 1.91371770696334e-10 0 0 0 0 0 0 0 0 3.6681730242775e-15 5.46281447768124e-15 0 3.98919271781283e-16 3.3312416049607e-17 0 0 9.63599596411873e-16 6.57269533609106e-17 1.43908254187321e-18 3.44268143499023e-20 1.14281751750879e-23 2.08724724058883e-22 3.20622554190871e-25 5.77161845759172e-27 3.36224339003664e-26 5.20191080325129e-28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" "1" "Traceur_1" 578 405 50.0707395498392 1.31707317073171 219473.597324136 612058.422104971 164892.589268363 14957.3459003459 0.00157504259035393 2.15541670970358e-06 9.48868272344943e-11 0 0 0 0 0 0 0 0 3.57199664917569e-15 5.00426935289884e-15 0 3.82065801081121e-16 3.15193970970116e-17 0 0 8.88819009896015e-16 6.05361499444771e-17 1.32816964336738e-18 3.17470126676689e-20 1.05980192179043e-23 1.9240968821265e-22 2.99468176328032e-25 5.47219316093905e-27 3.16361122761989e-26 5.40430754347776e-28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
