"zone" "name" "i" "j" "lat" "lon" "Traceur_1" "Traceur_2" "Traceur_3" "Traceur_4" "Traceur_5" "Traceur_6" "Traceur_7" "Traceur_8" "Traceur_9" "Traceur_10" "Traceur_11" "Traceur_12" "Traceur_13" "Traceur_14" "Traceur_15" "Traceur_16" "Traceur_17" "Traceur_18" "Traceur_19" "Traceur_20" "Traceur_21" "Traceur_22" "Traceur_23" "Traceur_24" "Traceur_25" "Traceur_26" "Traceur_27" "Traceur_28" "Traceur_29" "Traceur_30" "Traceur_31" "Traceur_32" "Traceur_33" "Traceur_34" "Traceur_35" "Traceur_36" "Traceur_37" "Traceur_38" "Traceur_39" "Traceur_40" "Traceur_41" "Traceur_42" "Traceur_43" "Traceur_44" "Traceur_45" "Traceur_46" "Traceur_47" "Traceur_48" "Traceur_49" "Traceur_50" "Traceur_51" "Traceur_52" "Traceur_53" "Traceur_54" "Traceur_55" "Traceur_56" "Traceur_57" "Traceur_58" "Traceur_59" "Traceur_60"
"1" "1" "Traceur_1" 580 407 50.1157556270096 1.38414634146341 420819.096878721 240496.692672532 2634.4220027294 0 0.000213300198022917 9.23373091776179e-08 5.34609226764644e-14 0 0 0 0 1.48908569204431e-13 0 1.13700086796923e-13 1.84113884815442e-14 1.42414389864697e-14 2.47853146928007e-15 1.16076345014203e-16 0 0 2.88888171373805e-16 0 4.37735372764209e-16 2.92342387648276e-16 6.24711144546105e-18 1.89983467798467e-17 2.66753521591966e-19 5.25996640060325e-19 0 1.86751242612408e-22 4.83154504198202e-22 2.54606807261209e-22 1.56862139400673e-25 2.49938829433762e-24 4.12647636546412e-25 3.90024776954359e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" "1" "Traceur_1" 581 407 50.1157556270096 1.41768292682927 318743.415499342 174102.453254023 1713.58289496506 0 0.000163617459153325 1.22727048430669e-07 1.19935179464188e-13 0 0 0 0 9.78150445312527e-14 0 7.49206569632947e-14 1.16742094253401e-14 8.87140530732407e-15 1.51462829511575e-15 5.89505071221326e-17 0 0 1.70237431863273e-16 0 2.63199741961829e-16 1.72386586804281e-16 5.81961074591083e-18 1.0783984129564e-17 1.45588818699443e-19 2.900532272607e-19 0 8.42686029374425e-23 2.0364522880455e-22 1.26975319200601e-22 6.96464911551137e-26 1.16715809469058e-24 1.83091229737903e-25 1.70465367799564e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" "1" "Traceur_1" 581 408 50.1382636655949 1.41768292682927 372465.212509923 194067.452521822 1812.35907599786 0 0.000150249859569702 8.45459574052488e-08 4.51105043177853e-13 0 0 0 0 1.07507826248226e-13 0 8.05034823102131e-14 1.23428702432607e-14 9.24681697187095e-15 1.53280084365412e-15 5.54976484515461e-17 0 0 1.72245205005517e-16 0 2.67356502716391e-16 1.74436079238256e-16 6.52138540531738e-18 1.07645842311239e-17 1.4326369199123e-19 2.86502268779356e-19 0 7.76599198191543e-23 1.82582371737832e-22 1.21242767968478e-22 6.38137428473459e-26 1.08781586907061e-24 1.67655270784921e-25 1.55357735384806e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" "1" "Traceur_1" 581 409 50.1607717041801 1.41768292682927 431827.788266144 201257.826994404 1577.99559163147 0 0.000110715321341099 4.2524765901743e-08 8.97171672678982e-13 0 0 0 0 1.10624539697838e-13 0 8.08260072019931e-14 1.21157347171148e-14 8.90057270953461e-15 1.42503141273986e-15 4.60731894626083e-17 0 0 1.59786868129274e-16 0 2.49652693095549e-16 1.61854324505018e-16 6.90911959316198e-18 9.8022272234492e-18 1.28153670073304e-19 2.57531142462602e-19 0 6.395282877228e-23 1.44803083971157e-22 1.04484684889721e-22 5.21770686483208e-26 9.08547928968337e-25 1.36939493376816e-25 1.26184619356805e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" "1" "Traceur_1" 574 401 49.9807073954984 1.18292682926829 341969.317061387 366396.994163577 21558.6083501063 32.2828431258255 0.0101879082079955 8.6045584483878e-06 3.77714965424276e-09 0 0 0 2.51629208795814e-13 5.56949347209743e-13 0 4.15975662344781e-13 1.02502002113617e-13 9.30711192683611e-14 2.18347420364886e-14 2.65249251453735e-15 0 0 3.43680187125128e-15 3.99307612076226e-16 4.54177600039055e-15 3.45714705534058e-15 0 3.04459318176499e-16 6.32034750954888e-18 1.13994088364915e-17 7.53890755552253e-20 1.88152444198159e-20 5.82578405714885e-20 1.5019074317335e-20 1.68770121441039e-23 1.95433595905887e-22 4.33036004794881e-23 4.63312459667381e-25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" "1" "Traceur_1" 574 402 50.0032154340836 1.18292682926829 459806.52934244 453910.418903132 22307.6298980087 13.3507549744102 0.00662766430415183 3.35251782081735e-06 1.9136255120813e-09 0 0 0 1.70193926672639e-13 6.30164104498008e-13 0 4.737897414768e-13 1.12475870162446e-13 1.01218075310712e-13 2.29273777671806e-14 2.69508098429122e-15 0 0 3.56731517023444e-15 2.86030432560802e-16 4.73567795044473e-15 3.58801670547636e-15 0 3.11065705738104e-16 6.31473409271853e-18 1.14393273814856e-17 6.91752279488396e-20 1.76971028026764e-20 5.47505071678473e-20 1.43279030878286e-20 1.58522447591951e-23 1.85552482927343e-22 4.07373213927171e-23 4.33717223881663e-25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" "1" "Traceur_1" 575 402 50.0032154340836 1.21646341463414 406643.617090897 370433.18155329 14847.2122068838 0.837969314341716 0.00445842110679753 3.72498474531652e-07 9.72460911109176e-10 0 0 0 7.70295018365526e-14 4.57591825485215e-13 0 3.52649471042502e-13 8.03895020005127e-14 7.1401453325389e-14 1.59249039127055e-14 1.74230821656025e-15 0 0 2.39092011732645e-15 7.54331005879943e-17 3.21591156577548e-15 2.40737765420031e-15 0 2.02833609109031e-16 3.95286624577544e-18 7.22455059483161e-18 3.49332747044933e-20 9.57175085796e-21 2.95929123366033e-20 8.04751074773075e-21 8.54959686809901e-24 1.03091412267206e-22 2.20717162210529e-23 2.31592476869576e-25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" "1" "Traceur_1" 575 403 50.0257234726688 1.21646341463414 518235.707710544 445528.991754906 16114.8991956248 0.221002292753531 0.00246908524918572 6.57213659592068e-08 3.99469303990903e-10 0 0 0 2.60030099779811e-14 5.11482624445949e-13 0 3.94615402872997e-13 8.65827600985281e-14 7.60090843961595e-14 1.6374074853263e-14 1.70648694603651e-15 0 0 2.4154412007565e-15 2.69464863881156e-17 3.27226928379747e-15 2.43237536135804e-15 0 2.00826615704492e-16 3.80436578668975e-18 6.99408061794156e-18 2.91848690467295e-20 8.46104972676367e-21 2.60783941711855e-20 7.28249094916824e-21 7.54023923972108e-24 9.24125030091881e-23 1.95064468728037e-23 2.03216702126604e-25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" "1" "Traceur_1" 576 403 50.0257234726688 1.25 477885.697171377 379481.344756543 10828.8745642139 0 0.00131823910344932 0 1.40179316502962e-10 0 0 0 9.65363537239845e-18 3.88185499590322e-13 0 3.05344194539748e-13 6.39696573171428e-14 5.52957479113406e-14 1.16764855949245e-14 1.10898152720165e-15 0 0 1.65265874983325e-15 0 2.27586697589412e-15 1.66607811192315e-15 0 1.32967027130524e-16 2.40382009069512e-18 4.4653105336179e-18 1.34525639053082e-20 4.5135205271624e-21 1.38106715097856e-20 4.08992980106671e-21 4.00343860085832e-24 5.08397134420687e-23 1.04033003708891e-23 1.06675766996146e-25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" "1" "Traceur_1" 577 403 50.0257234726688 1.28353658536586 395895.104220711 299604.606740407 7244.86498175545 0 0.000706590024335488 0 3.81770056273885e-11 0 0 0 0 2.75766308036823e-13 0 2.20634590242086e-13 4.43697804000663e-14 3.78258238807528e-14 7.85981741013233e-15 6.79513576856742e-16 0 0 1.06900354651847e-15 0 1.49638977238689e-15 1.07877989589168e-15 0 8.33352467789549e-17 1.44125244859332e-18 2.70425854979801e-18 5.42999966467511e-21 2.28473654010547e-21 6.90765965423902e-21 2.19215358918222e-21 2.01469805175992e-24 2.65528874664273e-23 5.25665392243867e-24 5.30594928737252e-26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
