"zone" "name" "i" "j" "lat" "lon" "Traceur_1" "Traceur_2" "Traceur_3" "Traceur_4" "Traceur_5" "Traceur_6" "Traceur_7" "Traceur_8" "Traceur_9" "Traceur_10" "Traceur_11" "Traceur_12" "Traceur_13" "Traceur_14" "Traceur_15" "Traceur_16" "Traceur_17" "Traceur_18" "Traceur_19" "Traceur_20" "Traceur_21" "Traceur_22" "Traceur_23" "Traceur_24" "Traceur_25" "Traceur_26" "Traceur_27" "Traceur_28" "Traceur_29" "Traceur_30" "Traceur_31" "Traceur_32" "Traceur_33" "Traceur_34" "Traceur_35" "Traceur_36" "Traceur_37" "Traceur_38" "Traceur_39" "Traceur_40" "Traceur_41" "Traceur_42" "Traceur_43" "Traceur_44" "Traceur_45" "Traceur_46" "Traceur_47" "Traceur_48" "Traceur_49" "Traceur_50" "Traceur_51" "Traceur_52" "Traceur_53" "Traceur_54" "Traceur_55" "Traceur_56" "Traceur_57" "Traceur_58" "Traceur_59" "Traceur_60"
"1" "1" "Traceur_1" 580 407 50.1157556270096 1.38414634146341 600708.189257351 130992.667879826 5.43521163893138 0.0010915199538654 3.46827767712655e-09 0 0 0 0 0 0 3.56735093699587e-15 1.58468358382005e-15 1.87703425188551e-15 2.97947648787425e-16 1.87340311188296e-16 1.4964428104496e-16 0 1.40449330932615e-18 0 0 5.86161628837965e-18 1.15764009298382e-17 5.54972267135041e-18 3.69476709267933e-18 1.10467984921912e-19 2.47232667628629e-22 5.5913823866277e-22 0 0 7.96109551403441e-25 9.01243969214985e-25 1.79483650056208e-28 1.59587045988018e-26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" "1" "Traceur_1" 581 407 50.1157556270096 1.41768292682927 447320.614252587 93630.4514510317 3.94746463456259 0.00079253152350575 3.71431665903881e-09 0 0 0 0 0 0 2.20647490722013e-15 9.54698053505657e-16 1.13613844812985e-15 1.70246909746807e-16 1.26121750554772e-16 8.15843683187367e-17 0 8.22452682625861e-19 0 0 3.17376803339949e-18 6.08737917142586e-18 3.07333144275196e-18 1.98511689380764e-18 5.5141389796166e-20 1.09011475942645e-22 2.62666225856117e-22 0 0 3.15590039010708e-25 3.746088347726e-25 6.83942841657097e-29 6.87864967133122e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" "1" "Traceur_1" 581 408 50.1382636655949 1.41768292682927 507871.923753688 100243.927180133 4.32953688340502 0.000878886650176092 5.184179251867e-09 0 0 0 0 0 0 2.34814435260485e-15 9.93147659036374e-16 1.20058152839413e-15 1.794968784253e-16 1.34844197919506e-16 8.21999840079725e-17 0 8.84958468832272e-19 0 0 3.37853884633076e-18 6.14224574218058e-18 3.11463120081638e-18 1.9940589875265e-18 5.44228196565981e-20 1.04384851735309e-22 2.55495535922452e-22 0 0 2.93578164027591e-25 3.53054988020056e-25 6.30299212005583e-29 6.54391188168516e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" "1" "Traceur_1" 581 409 50.1607717041801 1.41768292682927 564901.790129707 96434.2723719152 4.15904804897757 0.000831615833413612 6.29814277169489e-09 2.20091925636514e-14 0 0 0 0 0 2.31737867576705e-15 9.54683478289284e-16 1.1693111890788e-15 1.73136085902947e-16 1.34522528914201e-16 7.53346476001755e-17 0 8.63647845144343e-19 0 0 3.28140592350462e-18 5.62812199505068e-18 2.88084775478813e-18 1.8203571041961e-18 4.84753373403109e-20 8.92525975379948e-23 2.23182597371325e-22 0 0 2.40544779243784e-25 2.94824698851962e-25 5.10533865733026e-29 5.5365633742075e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" "1" "Traceur_1" 574 401 49.9807073954984 1.18292682926829 537392.477878387 208057.974883957 133.170493894391 0.0038353032221134 1.82407945921774e-06 1.91643325692237e-07 0 2.37425647090025e-14 0 2.92696535496762e-16 8.41873365338571e-15 1.53313950352793e-14 1.2260544586247e-14 8.98834559203552e-15 2.25925666533963e-15 1.18171706643543e-16 2.1240337984616e-15 0 0 0 0 9.52214428825823e-17 2.29057724380298e-16 7.88133737591659e-17 5.95901205222523e-17 3.38516266974541e-18 2.14303761588588e-20 3.27500405648981e-20 0 0 9.15342898930367e-23 8.62640238307408e-23 3.01325462359745e-26 1.2471797091877e-24 0 0 0 3.07632964911719e-30 0 0 8.51434063116533e-31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" "1" "Traceur_1" 574 402 50.0032154340836 1.18292682926829 691816.070534033 255700.728956012 126.202549365584 0.0103030631862222 9.71778210596976e-06 1.19539695356571e-07 0 2.17930319924182e-14 0 2.24651776437337e-16 7.96440069681236e-15 1.78060017295655e-14 1.34237742737401e-14 1.05396910366448e-14 2.60668000722899e-15 1.64977573916993e-16 2.29711614162145e-15 0 0 0 0 1.05355298222953e-16 2.44906328836951e-16 8.4352939926843e-17 6.38651968770564e-17 3.55604355658639e-18 2.19771526264454e-20 3.38103717605553e-20 0 0 9.37664458076438e-23 8.85641060435444e-23 3.0661827850637e-26 1.2847036145217e-24 0 0 0 3.13616400851108e-30 0 0 7.34164929528921e-31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" "1" "Traceur_1" 575 402 50.0032154340836 1.21646341463414 619436.068071629 215649.654016508 56.88550372903 0.00219731017096757 2.84232235597879e-07 2.59558069339288e-08 0 1.14626055710591e-14 0 0 2.21936439725264e-15 1.34218530843739e-14 9.22266987764542e-15 7.69634571252884e-15 1.77847223760287e-15 2.16226870989421e-16 1.488761610341e-15 0 0 0 0 6.35120533996374e-17 1.51428274911274e-16 5.42866220408668e-17 4.08756559426526e-17 2.09176232818988e-18 1.13223210033792e-20 1.80690683057621e-20 0 0 4.80904145599116e-23 4.60647843371851e-23 1.49238715142154e-26 6.8217663442081e-25 0 0 0 1.40046736697896e-30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" "1" "Traceur_1" 575 403 50.0257234726688 1.21646341463414 769481.907068837 258786.022631544 57.975548483149 0.00328781301953827 1.76448822629973e-06 1.71942788317993e-08 0 8.98516145442303e-15 0 0 1.60888529897588e-15 1.52598447392806e-14 9.91189999083128e-15 8.77453830326542e-15 1.9861398245852e-15 2.80880760666265e-16 1.56281410173254e-15 0 2.70922504424015e-19 0 0 6.76224767545726e-17 1.56421252216912e-16 5.65583925468411e-17 4.25134447265031e-17 2.10911354216575e-18 1.09208571182462e-20 1.76631249370641e-20 0 0 4.62318592289442e-23 4.45013424196749e-23 1.41325074545208e-26 6.63566160524607e-25 0 0 0 9.08134076519065e-31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" "1" "Traceur_1" 576 403 50.0257234726688 1.25 716129.48136885 222966.760740223 23.4862175557152 0.00220071163503164 2.58222165864477e-07 3.87605309685484e-09 0 3.47247889106808e-15 0 0 0 1.16864594476808e-14 7.02204745556806e-15 6.57495482958129e-15 1.38887356408305e-15 2.92684208364446e-16 1.03318102920182e-15 0 4.25298694796333e-19 0 0 4.18072771058395e-17 9.84063304950148e-17 3.72599002430931e-17 2.77011645904477e-17 1.25792460078047e-18 5.64678862207906e-21 9.55519436165694e-21 0 0 2.35684218182021e-23 2.30911922456477e-23 6.8193179585494e-27 3.52662223249848e-25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" "1" "Traceur_1" 577 403 50.0257234726688 1.28353658536586 595829.955499656 176892.834522492 11.2360757526074 0.00157275181977076 6.89038132882449e-08 3.80951105700467e-10 0 5.09983952966644e-16 0 0 0 8.22543975535641e-15 4.63706123267863e-15 4.55147340820814e-15 8.98748894449827e-16 2.56315356136514e-16 6.34757698051383e-16 0 8.56259654210564e-19 0 0 2.40203882725317e-17 5.75135064377948e-17 2.28726135817342e-17 1.67652861894269e-17 6.97337203868522e-19 2.70466656838345e-21 4.81733610553001e-21 0 0 1.10202103449489e-23 1.10256095086472e-23 3.01549004973985e-27 1.72879642550407e-25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
